"V1" "V2" "V3" "V4" "V5" "V6"
"45" "14" "73" "67" "M" "67" "2"
"46" "15" "73" "66.5" "M" "71" "3"
"47" "15" "73" "66.5" "M" "70.5" "3"
"48" "15" "73" "66.5" "F" "66.7" "3"
"49" "16" "73" "65" "M" "72" "9"
"50" "16" "73" "65" "M" "70.5" "9"
"51" "16" "73" "65" "M" "70.2" "9"
"52" "16" "73" "65" "M" "70.2" "9"
"53" "16" "73" "65" "M" "69.2" "9"
"54" "16" "73" "65" "F" "68.7" "9"
"55" "16" "73" "65" "F" "66.5" "9"
"56" "16" "73" "65" "F" "64.5" "9"
"57" "16" "73" "65" "F" "63.5" "9"
"58" "17" "73" "64.5" "M" "74" "6"
"59" "17" "73" "64.5" "M" "73" "6"
"60" "17" "73" "64.5" "M" "71.5" "6"
"61" "17" "73" "64.5" "M" "62.5" "6"
"62" "17" "73" "64.5" "F" "66.5" "6"
"63" "17" "73" "64.5" "F" "62.3" "6"
"64" "18" "73" "64" "F" "66" "3"
"65" "18" "73" "64" "F" "64.5" "3"
"66" "18" "73" "64" "F" "64" "3"
"67" "19" "73.2" "63" "F" "62.7" "1"
"68" "20" "72.7" "69" "M" "73.2" "8"
"69" "20" "72.7" "69" "M" "73" "8"
"70" "20" "72.7" "69" "M" "72.7" "8"
"71" "20" "72.7" "69" "F" "70" "8"
"72" "20" "72.7" "69" "F" "69" "8"
"73" "20" "72.7" "69" "F" "68.5" "8"
"74" "20" "72.7" "69" "F" "68" "8"
"75" "20" "72.7" "69" "F" "66" "8"
"76" "21" "72" "68" "M" "73" "3"
"77" "21" "72" "68" "F" "68.5" "3"
"78" "21" "72" "68" "F" "68" "3"
"79" "22" "72" "67" "M" "73" "3"
"80" "22" "72" "67" "M" "71" "3"
"81" "22" "72" "67" "F" "67" "3"
"82" "23" "72" "65" "M" "74.2" "7"
"83" "23" "72" "65" "M" "70.5" "7"
"84" "23" "72" "65" "M" "69.5" "7"
"85" "23" "72" "65" "F" "66" "7"
"86" "23" "72" "65" "F" "65.5" "7"
"87" "23" "72" "65" "F" "65" "7"
"88" "23" "72" "65" "F" "65" "7"
"89" "24" "72" "65.5" "F" "65.5" "1"
"90" "25" "72" "64" "F" "66" "2"
"91" "25" "72" "64" "F" "63" "2"
"92" "26" "72" "63" "M" "70.5" "5"
"93" "26" "72" "63" "M" "70.5" "5"
"94" "26" "72" "63" "M" "69" "5"
"95" "26" "72" "63" "F" "65" "5"
"96" "26" "72" "63" "F" "63" "5"
"97" "27" "72" "63" "M" "69" "3"
"98" "27" "72" "63" "M" "67" "3"
"99" "27" "72" "63" "F" "63" "3"
"100" "28" "72" "63" "M" "73" "6"
"101" "28" "72" "63" "M" "67" "6"
"102" "28" "72" "63" "F" "70.5" "6"
"103" "28" "72" "63" "F" "70" "6"
"104" "28" "72" "63" "F" "66.5" "6"
"105" "28" "72" "63" "F" "63" "6"
"106" "29" "72.5" "63.5" "F" "67.5" "3"
"107" "29" "72.5" "63.5" "F" "67.2" "3"
"108" "29" "72.5" "63.5" "F" "66.7" "3"
"109" "30" "72" "62" "F" "64" "1"
"110" "31" "72.5" "62" "M" "71" "6"
"111" "31" "72.5" "62" "M" "70" "6"
"112" "31" "72.5" "62" "M" "70" "6"
"113" "31" "72.5" "62" "F" "66" "6"
"114" "31" "72.5" "62" "F" "65" "6"
"115" "31" "72.5" "62" "F" "65" "6"
"116" "32" "72" "62" "M" "74" "5"
"117" "32" "72" "62" "M" "72" "5"
"118" "32" "72" "62" "M" "69" "5"
"119" "32" "72" "62" "F" "67.5" "5"
"120" "32" "72" "62" "F" "63.5" "5"
"121" "33" "72" "62" "M" "72" "5"
"122" "33" "72" "62" "M" "71.5" "5"
"123" "33" "72" "62" "M" "71.5" "5"
"124" "33" "72" "62" "M" "70" "5"
"125" "33" "72" "62" "F" "68" "5"
"126" "34" "72" "61" "F" "65.7" "1"
"127" "35" "71" "69" "M" "78" "5"
"128" "35" "71" "69" "M" "74" "5"
"129" "35" "71" "69" "M" "73" "5"
"130" "35" "71" "69" "M" "72" "5"
"131" "35" "71" "69" "F" "67" "5"
"132" "36" "71" "67" "M" "73.2" "4"
"133" "36" "71" "67" "M" "73" "4"
"134" "36" "71" "67" "M" "69" "4"
"135" "36" "71" "67" "F" "67" "4"
"136" "37" "71" "66" "M" "70" "4"
"137" "37" "71" "66" "F" "67" "4"
"138" "37" "71" "66" "F" "67" "4"
"139" "37" "71" "66" "F" "66.5" "4"
"140" "38" "71" "66" "M" "70" "6"
"141" "38" "71" "66" "M" "69" "6"
"142" "38" "71" "66" "M" "68.5" "6"
"143" "38" "71" "66" "F" "66" "6"
"144" "38" "71" "66" "F" "64.5" "6"
"145" "38" "71" "66" "F" "63" "6"
"146" "39" "71" "66" "M" "71" "2"
"147" "39" "71" "66" "F" "67" "2"
"148" "40" "71" "66" "M" "76" "5"
"149" "40" "71" "66" "M" "72" "5"
"150" "40" "71" "66" "M" "71" "5"
"151" "40" "71" "66" "M" "66" "5"
"152" "40" "71" "66" "F" "66" "5"
"153" "41" "71.7" "65.5" "M" "70.5" "1"
"154" "42" "71" "65.5" "M" "72" "6"
"155" "42" "71" "65.5" "M" "72" "6"
"156" "42" "71" "65.5" "M" "71" "6"
"157" "42" "71" "65.5" "M" "69" "6"
"158" "42" "71" "65.5" "F" "66" "6"
"159" "42" "71" "65.5" "F" "65" "6"
"160" "43" "71.5" "65.5" "M" "73" "2"
"161" "43" "71.5" "65.5" "F" "65.2" "2"
"162" "44" "71.5" "65" "M" "68.5" "2"
"163" "44" "71.5" "65" "M" "67.7" "2"
"164" "45" "71" "65" "M" "68" "3"
"165" "45" "71" "65" "M" "68" "3"
"166" "45" "71" "65" "F" "62" "3"
"167" "46" "71" "64" "F" "68" "8"
"168" "46" "71" "64" "F" "68" "8"
"169" "46" "71" "64" "F" "67.5" "8"
"170" "46" "71" "64" "F" "66.5" "8"
"171" "46" "71" "64" "F" "66.5" "8"
"172" "46" "71" "64" "F" "66" "8"
"173" "46" "71" "64" "F" "65.5" "8"
"174" "46" "71" "64" "F" "65" "8"
"175" "47" "71.7" "64.5" "M" "72" "4"
"176" "47" "71.7" "64.5" "M" "71" "4"
"177" "47" "71.7" "64.5" "M" "70.5" "4"
"178" "47" "71.7" "64.5" "F" "67" "4"
"179" "48" "71" "64" "M" "68" "3"
"180" "48" "71" "64" "M" "68" "3"
"181" "48" "71" "64" "M" "68" "3"
"182" "49" "71.5" "64.5" "M" "72" "7"
"183" "49" "71.5" "64.5" "M" "71" "7"
"184" "49" "71.5" "64.5" "M" "70" "7"
"185" "49" "71.5" "64.5" "F" "66" "7"
"186" "49" "71.5" "64.5" "F" "64.5" "7"
"187" "49" "71.5" "64.5" "F" "64.5" "7"
"188" "49" "71.5" "64.5" "F" "62" "7"
"189" "51" "71.2" "63" "F" "67.5" "2"
"190" "51" "71.2" "63" "F" "64.5" "2"
"191" "52" "71" "63.5" "M" "71" "5"
"192" "52" "71" "63.5" "M" "67" "5"
"193" "52" "71" "63.5" "F" "66" "5"
"194" "52" "71" "63.5" "F" "65" "5"
"195" "52" "71" "63.5" "F" "63.5" "5"
"196" "53" "71" "63" "M" "71" "9"
"197" "53" "71" "63" "M" "70" "9"
"198" "53" "71" "63" "M" "70" "9"
"199" "53" "71" "63" "M" "64" "9"
"200" "53" "71" "63" "F" "65" "9"
"201" "53" "71" "63" "F" "65" "9"
"202" "53" "71" "63" "F" "64" "9"
"203" "53" "71" "63" "F" "63" "9"
"204" "53" "71" "63" "F" "63" "9"
"205" "54" "71" "63" "M" "71" "4"
"206" "54" "71" "63" "M" "71" "4"
"207" "54" "71" "63" "M" "70" "4"
"208" "54" "71" "63" "F" "63.5" "4"
"209" "55" "71" "62" "M" "71" "5"
"210" "55" "71" "62" "M" "70" "5"
"211" "55" "71" "62" "F" "64.5" "5"
"212" "55" "71" "62" "F" "62.5" "5"
"213" "55" "71" "62" "F" "61.5" "5"
"214" "56" "71" "62" "M" "72" "5"
"215" "56" "71" "62" "M" "70.5" "5"
"216" "56" "71" "62" "M" "70.5" "5"
"217" "56" "71" "62" "F" "64.5" "5"
"218" "56" "71" "62" "F" "60" "5"
"219" "57" "71" "62.5" "M" "70" "5"
"220" "57" "71" "62.5" "F" "64" "5"
"221" "57" "71" "62.5" "F" "64" "5"
"222" "57" "71" "62.5" "F" "64" "5"
"223" "57" "71" "62.5" "F" "62.5" "5"
"224" "58" "71" "62" "M" "70.5" "7"
"225" "58" "71" "62" "M" "70" "7"
"226" "58" "71" "62" "M" "69" "7"
"227" "58" "71" "62" "M" "69" "7"
"228" "58" "71" "62" "M" "66" "7"
"229" "58" "71" "62" "F" "64.5" "7"
"230" "58" "71" "62" "F" "64" "7"
"231" "59" "71" "61" "F" "62" "1"
"232" "60" "71" "58" "M" "71.5" "2"
"233" "60" "71" "58" "M" "69" "2"
"234" "61" "70" "69" "M" "71" "4"
"235" "61" "70" "69" "M" "70" "4"
"236" "61" "70" "69" "M" "69" "4"
"237" "61" "70" "69" "F" "69" "4"
"238" "62" "70" "69" "M" "70" "6"
"239" "62" "70" "69" "M" "68.7" "6"
"240" "62" "70" "69" "F" "68" "6"
"241" "62" "70" "69" "F" "66" "6"
"242" "62" "70" "69" "F" "64" "6"
"243" "62" "70" "69" "F" "62" "6"
"244" "63" "70" "68" "M" "75" "1"
"245" "64" "70" "67" "M" "70" "5"
"246" "64" "70" "67" "M" "69" "5"
"247" "64" "70" "67" "F" "66" "5"
"248" "64" "70" "67" "F" "64" "5"
"249" "64" "70" "67" "F" "60" "5"
"250" "65" "70" "67" "F" "67.5" "1"
"251" "66" "70" "66.5" "M" "73" "11"
"252" "66" "70" "66.5" "M" "72" "11"
"253" "66" "70" "66.5" "M" "72" "11"
"254" "66" "70" "66.5" "M" "66.5" "11"
"255" "66" "70" "66.5" "F" "69.2" "11"
"256" "66" "70" "66.5" "F" "67.2" "11"
"257" "66" "70" "66.5" "F" "66.5" "11"
"258" "66" "70" "66.5" "F" "66" "11"
"259" "66" "70" "66.5" "F" "66" "11"
"260" "66" "70" "66.5" "F" "64.2" "11"
"261" "66" "70" "66.5" "F" "63.7" "11"
"262" "67" "70.5" "65" "M" "72" "4"
"263" "67" "70.5" "65" "M" "70.2" "4"
"264" "67" "70.5" "65" "M" "69" "4"
"265" "67" "70.5" "65" "M" "68.5" "4"
"266" "68" "70.5" "65" "F" "68" "5"
"267" "68" "70.5" "65" "F" "65" "5"
"268" "68" "70.5" "65" "F" "61.5" "5"
"269" "68" "70.5" "65" "F" "61" "5"
"270" "68" "70.5" "65" "F" "61" "5"
"271" "69" "70" "65" "M" "73" "8"
"272" "69" "70" "65" "M" "72" "8"
"273" "69" "70" "65" "M" "70.5" "8"
"274" "69" "70" "65" "M" "65" "8"
"275" "69" "70" "65" "M" "65" "8"
"276" "69" "70" "65" "F" "64.5" "8"
"277" "69" "70" "65" "F" "63" "8"
"278" "69" "70" "65" "F" "62" "8"
"279" "70" "70" "65" "M" "67" "5"
"280" "70" "70" "65" "M" "65" "5"
"281" "70" "70" "65" "F" "64.5" "5"
"282" "70" "70" "65" "F" "62.5" "5"
"283" "70" "70" "65" "F" "62.5" "5"
"284" "71" "70" "65" "M" "70" "6"
"285" "71" "70" "65" "M" "70" "6"
"286" "71" "70" "65" "F" "67" "6"
"287" "71" "70" "65" "F" "65" "6"
"288" "71" "70" "65" "F" "65" "6"
"289" "71" "70" "65" "F" "63" "6"
"290" "72" "70" "65" "M" "79" "7"
"291" "72" "70" "65" "M" "75" "7"
"292" "72" "70" "65" "M" "71" "7"
"293" "72" "70" "65" "F" "69" "7"
"294" "72" "70" "65" "F" "67" "7"
"295" "72" "70" "65" "F" "65.7" "7"
"296" "72" "70" "65" "F" "62" "7"
"297" "73" "70" "65" "M" "73" "3"
"298" "73" "70" "65" "M" "72.5" "3"
"299" "73" "70" "65" "F" "65" "3"
"300" "74" "70" "65" "M" "69" "2"
"301" "74" "70" "65" "M" "69" "2"
"302" "75" "70" "64.7" "M" "72" "7"
"303" "75" "70" "64.7" "M" "70" "7"
"304" "75" "70" "64.7" "M" "68.7" "7"
"305" "75" "70" "64.7" "F" "66.5" "7"
"306" "75" "70" "64.7" "F" "65.5" "7"
"307" "75" "70" "64.7" "F" "64.7" "7"
"308" "75" "70" "64.7" "F" "64.5" "7"
"309" "76" "70" "64" "M" "70.7" "7"
"310" "76" "70" "64" "M" "70" "7"
"311" "76" "70" "64" "M" "68" "7"
"312" "76" "70" "64" "M" "67" "7"
"313" "76" "70" "64" "M" "66" "7"
"314" "76" "70" "64" "M" "65" "7"
"315" "76" "70" "64" "F" "67" "7"
"316" "77" "70" "64" "M" "70" "4"
"317" "77" "70" "64" "M" "68" "4"
"318" "77" "70" "64" "M" "66.7" "4"
"319" "77" "70" "64" "F" "65.5" "4"
"320" "78" "70" "64.2" "M" "72" "5"
"321" "78" "70" "64.2" "M" "70" "5"
"322" "78" "70" "64.2" "F" "62.5" "5"
"323" "78" "70" "64.2" "F" "61.2" "5"
"324" "78" "70" "64.2" "F" "60.1" "5"
"325" "79" "70.5" "64" "M" "74" "8"
"326" "79" "70.5" "64" "M" "69.5" "8"
"327" "79" "70.5" "64" "M" "69" "8"
"328" "79" "70.5" "64" "M" "68" "8"
"329" "79" "70.5" "64" "M" "68" "8"
"330" "79" "70.5" "64" "M" "68" "8"
"331" "79" "70.5" "64" "F" "65.5" "8"
"332" "79" "70.5" "64" "F" "65" "8"
"333" "80" "70.5" "64.5" "F" "60" "1"
"334" "81" "70" "64" "M" "68" "4"
"335" "81" "70" "64" "F" "65" "4"
"336" "81" "70" "64" "F" "64" "4"
"337" "81" "70" "64" "F" "62" "4"
"338" "82" "70" "64" "M" "71" "9"
"339" "82" "70" "64" "M" "70" "9"
"340" "82" "70" "64" "M" "70" "9"
"341" "82" "70" "64" "M" "70" "9"
"342" "82" "70" "64" "M" "69.5" "9"
"343" "82" "70" "64" "M" "68.5" "9"
"344" "82" "70" "64" "F" "69" "9"
"345" "82" "70" "64" "F" "65" "9"
"346" "82" "70" "64" "F" "64" "9"
"347" "83" "70" "63.7" "M" "70" "8"
"348" "83" "70" "63.7" "M" "67" "8"
"349" "83" "70" "63.7" "M" "65.5" "8"
"350" "83" "70" "63.7" "F" "63.7" "8"
"351" "83" "70" "63.7" "F" "63.2" "8"
"352" "83" "70" "63.7" "F" "62.5" "8"
"353" "83" "70" "63.7" "F" "62.2" "8"
"354" "83" "70" "63.7" "F" "61" "8"
"355" "85" "70.5" "63" "M" "72.5" "5"
"356" "85" "70.5" "63" "M" "69" "5"
"357" "85" "70.5" "63" "M" "67" "5"
"358" "85" "70.5" "63" "F" "64.5" "5"
"359" "85" "70.5" "63" "F" "64" "5"
"360" "86" "70" "63.5" "M" "71" "4"
"361" "86" "70" "63.5" "M" "67.5" "4"
"362" "86" "70" "63.5" "F" "67.5" "4"
"363" "86" "70" "63.5" "F" "63.5" "4"
"364" "87" "70" "63" "M" "68" "4"
"365" "87" "70" "63" "M" "67" "4"
"366" "87" "70" "63" "F" "63.7" "4"
"367" "87" "70" "63" "F" "62" "4"
"368" "88" "70" "63" "M" "70" "4"
"369" "88" "70" "63" "M" "66.5" "4"
"370" "88" "70" "63" "F" "62" "4"
"371" "88" "70" "63" "F" "61" "4"
"372" "89" "70.5" "62" "M" "72" "8"
"373" "89" "70.5" "62" "M" "70" "8"
"374" "89" "70.5" "62" "M" "69.5" "8"
"375" "89" "70.5" "62" "M" "69.5" "8"
"376" "89" "70.5" "62" "M" "68" "8"
"377" "89" "70.5" "62" "F" "65" "8"
"378" "89" "70.5" "62" "F" "64" "8"
"379" "89" "70.5" "62" "F" "63" "8"
"380" "90" "70.3" "62.7" "M" "70.7" "7"
"381" "90" "70.3" "62.7" "M" "69.7" "7"
"382" "90" "70.3" "62.7" "M" "69.2" "7"
"383" "90" "70.3" "62.7" "M" "65.2" "7"
"384" "90" "70.3" "62.7" "F" "64" "7"
"385" "90" "70.3" "62.7" "F" "63.5" "7"
"386" "90" "70.3" "62.7" "F" "63.2" "7"
"387" "91" "70.5" "62" "M" "72" "3"
"388" "91" "70.5" "62" "M" "72" "3"
"389" "91" "70.5" "62" "F" "60" "3"
"390" "92" "70" "61" "M" "71.2" "2"
"391" "92" "70" "61" "M" "67" "2"
"392" "93" "70" "60" "M" "67" "4"
"393" "93" "70" "60" "M" "64.5" "4"
"394" "93" "70" "60" "F" "65" "4"
"395" "93" "70" "60" "F" "63" "4"
"396" "94" "70" "60" "F" "65" "2"
"397" "94" "70" "60" "F" "65" "2"
"398" "95" "70" "58.5" "M" "71.5" "3"
"399" "95" "70" "58.5" "M" "64.5" "3"
"400" "95" "70" "58.5" "F" "63" "3"
"401" "96" "70" "58" "M" "72" "5"
"402" "96" "70" "58" "M" "66" "5"
"403" "96" "70" "58" "F" "66" "5"
"404" "96" "70" "58" "F" "65" "5"
"405" "96" "70" "58" "F" "63" "5"
"406" "97" "69" "68.5" "M" "75" "10"
"407" "97" "69" "68.5" "M" "71" "10"
"408" "97" "69" "68.5" "M" "70" "10"
"409" "97" "69" "68.5" "F" "66" "10"
"410" "97" "69" "68.5" "F" "66" "10"
"411" "97" "69" "68.5" "F" "65.5" "10"
"412" "97" "69" "68.5" "F" "65" "10"
"413" "97" "69" "68.5" "F" "65" "10"
"414" "97" "69" "68.5" "F" "64" "10"
"415" "97" "69" "68.5" "F" "64" "10"
"416" "98" "69" "67" "F" "64" "1"
"417" "99" "69" "66" "M" "73" "8"
"418" "99" "69" "66" "M" "72" "8"
"419" "99" "69" "66" "M" "71.7" "8"
"420" "99" "69" "66" "M" "71.5" "8"
"421" "99" "69" "66" "F" "65.5" "8"
"422" "99" "69" "66" "F" "65" "8"
"423" "99" "69" "66" "F" "62.7" "8"
"424" "99" "69" "66" "F" "62.5" "8"
"425" "100" "69" "66" "M" "71.2" "3"
"426" "100" "69" "66" "M" "71" "3"
"427" "100" "69" "66" "M" "70" "3"
"428" "101" "69" "66.7" "M" "75" "6"
"429" "101" "69" "66.7" "M" "74" "6"
"430" "101" "69" "66.7" "M" "72" "6"
"431" "101" "69" "66.7" "M" "68.5" "6"
"432" "101" "69" "66.7" "M" "67" "6"
"433" "101" "69" "66.7" "M" "66" "6"
"434" "102" "69" "66" "M" "70" "6"
"435" "102" "69" "66" "M" "68.5" "6"
"436" "102" "69" "66" "M" "68" "6"
"437" "102" "69" "66" "F" "65" "6"
"438" "102" "69" "66" "F" "63" "6"
"439" "102" "69" "66" "F" "62.5" "6"
"440" "103" "69" "66.5" "M" "73" "5"
"441" "103" "69" "66.5" "M" "71" "5"
"442" "103" "69" "66.5" "M" "70.5" "5"
"443" "103" "69" "66.5" "M" "70.5" "5"
"444" "103" "69" "66.5" "F" "61" "5"
"445" "104" "69.5" "66.5" "M" "70.5" "4"
"446" "104" "69.5" "66.5" "M" "67.5" "4"
"447" "104" "69.5" "66.5" "F" "64.5" "4"
"448" "104" "69.5" "66.5" "F" "64" "4"
"449" "105" "69" "66.5" "M" "71" "6"
"450" "105" "69" "66.5" "F" "68.5" "6"
"451" "105" "69" "66.5" "F" "67.5" "6"
"452" "105" "69" "66.5" "F" "66" "6"
"453" "105" "69" "66.5" "F" "63" "6"
"454" "105" "69" "66.5" "F" "63" "6"
"455" "106" "69.5" "66" "M" "71" "7"
"456" "106" "69.5" "66" "M" "71" "7"
"457" "106" "69.5" "66" "M" "70.5" "7"
"458" "106" "69.5" "66" "M" "70.5" "7"
"459" "106" "69.5" "66" "F" "66.5" "7"
"460" "106" "69.5" "66" "F" "65.5" "7"
"461" "106" "69.5" "66" "F" "64.5" "7"
"462" "107" "69" "66" "M" "73" "9"
"463" "107" "69" "66" "M" "72" "9"
"464" "107" "69" "66" "M" "69" "9"
"465" "107" "69" "66" "M" "69" "9"
"466" "107" "69" "66" "F" "66.5" "9"
"467" "107" "69" "66" "F" "65.5" "9"
"468" "107" "69" "66" "F" "65.5" "9"
"469" "107" "69" "66" "F" "65" "9"
"470" "107" "69" "66" "F" "64" "9"
"471" "108" "69" "65" "M" "70" "7"
"472" "108" "69" "65" "M" "68.5" "7"
"473" "108" "69" "65" "M" "67" "7"
"474" "108" "69" "65" "F" "65" "7"
"475" "108" "69" "65" "F" "64" "7"
"476" "108" "69" "65" "F" "63.5" "7"
"477" "108" "69" "65" "F" "61" "7"
"478" "109" "69.5" "64.5" "M" "69.7" "7"
"479" "109" "69.5" "64.5" "M" "68" "7"
"480" "109" "69.5" "64.5" "M" "60" "7"
"481" "109" "69.5" "64.5" "F" "65.2" "7"
"482" "109" "69.5" "64.5" "F" "64.5" "7"
"483" "109" "69.5" "64.5" "F" "63.7" "7"
"484" "109" "69.5" "64.5" "F" "60" "7"
"485" "110" "69.2" "64" "M" "71.7" "4"
"486" "110" "69.2" "64" "M" "66.5" "4"
"487" "110" "69.2" "64" "F" "65" "4"
"488" "110" "69.2" "64" "F" "63.5" "4"
"489" "112" "69" "63" "M" "69" "3"
"490" "112" "69" "63" "F" "67.5" "3"
"491" "112" "69" "63" "F" "63.5" "3"
"492" "113" "69" "63" "M" "72" "1"
"493" "114" "69" "63" "M" "73" "6"
"494" "114" "69" "63" "M" "70" "6"
"495" "114" "69" "63" "M" "70" "6"
"496" "114" "69" "63" "M" "64" "6"
"497" "114" "69" "63" "F" "66" "6"
"498" "114" "69" "63" "F" "62" "6"
"499" "115" "69" "63.5" "M" "70.5" "7"
"500" "115" "69" "63.5" "M" "67" "7"
"501" "115" "69" "63.5" "M" "66" "7"
"502" "115" "69" "63.5" "F" "65" "7"
"503" "115" "69" "63.5" "F" "63" "7"
"504" "115" "69" "63.5" "F" "62" "7"
"505" "115" "69" "63.5" "F" "61" "7"
"506" "116" "69" "63.5" "M" "70.5" "3"
"507" "116" "69" "63.5" "F" "63.7" "3"
"508" "116" "69" "63.5" "F" "63" "3"
"509" "117" "69.7" "62" "F" "62.5" "1"
"510" "118" "69.5" "62" "M" "73" "3"
"511" "118" "69.5" "62" "M" "72" "3"
"512" "118" "69.5" "62" "M" "69" "3"
"513" "119" "69" "62" "M" "73" "5"
"514" "119" "69" "62" "M" "71" "5"
"515" "119" "69" "62" "M" "71" "5"
"516" "119" "69" "62" "M" "69" "5"
"517" "119" "69" "62" "F" "63" "5"
"518" "121" "69" "62.5" "M" "71" "8"
"519" "121" "69" "62.5" "M" "70" "8"
"520" "121" "69" "62.5" "M" "70" "8"
"521" "121" "69" "62.5" "M" "69" "8"
"522" "121" "69" "62.5" "F" "63.5" "8"
"523" "121" "69" "62.5" "F" "62.5" "8"
"524" "121" "69" "62.5" "F" "62.5" "8"
"525" "121" "69" "62.5" "F" "62" "8"
"526" "122" "69" "62" "M" "72" "4"
"527" "122" "69" "62" "M" "68" "4"
"528" "122" "69" "62" "F" "66" "4"
"529" "122" "69" "62" "F" "66" "4"
"530" "123" "69.5" "61" "M" "70" "5"
"531" "123" "69.5" "61" "M" "69.5" "5"
"532" "123" "69.5" "61" "M" "69" "5"
"533" "123" "69.5" "61" "F" "63" "5"
"534" "123" "69.5" "61" "F" "62" "5"
"535" "124" "69" "61" "M" "68" "9"
"536" "124" "69" "61" "M" "68" "9"
"537" "124" "69" "61" "M" "67.5" "9"
"538" "124" "69" "61" "M" "64" "9"
"539" "124" "69" "61" "M" "63" "9"
"540" "124" "69" "61" "M" "63" "9"
"541" "124" "69" "61" "F" "63.5" "9"
"542" "124" "69" "61" "F" "62" "9"
"543" "124" "69" "61" "F" "62" "9"
"544" "125" "69" "60" "M" "70.5" "3"
"545" "125" "69" "60" "F" "68" "3"
"546" "125" "69" "60" "F" "62.5" "3"
"547" "126" "69" "60" "M" "69" "4"
"548" "126" "69" "60" "M" "66" "4"
"549" "126" "69" "60" "F" "61.7" "4"
"550" "126" "69" "60" "F" "60.5" "4"
"551" "127" "69" "60.5" "M" "69.5" "1"
"552" "128" "68.7" "70.5" "M" "71" "2"
"553" "128" "68.7" "70.5" "F" "61.7" "2"
"554" "129" "68.5" "67" "M" "73" "3"
"555" "129" "68.5" "67" "M" "71" "3"
"556" "129" "68.5" "67" "F" "67" "3"
"557" "130" "68.5" "66.5" "M" "70" "11"
"558" "130" "68.5" "66.5" "M" "69" "11"
"559" "130" "68.5" "66.5" "M" "69" "11"
"560" "130" "68.5" "66.5" "M" "68.7" "11"
"561" "130" "68.5" "66.5" "M" "68.5" "11"
"562" "130" "68.5" "66.5" "M" "68.5" "11"
"563" "130" "68.5" "66.5" "M" "68" "11"
"564" "130" "68.5" "66.5" "M" "68" "11"
"565" "130" "68.5" "66.5" "M" "68" "11"
"566" "130" "68.5" "66.5" "F" "63.2" "11"
"567" "131" "68" "65" "M" "67.5" "2"
"568" "131" "68" "65" "M" "66" "2"
"569" "132" "68" "65.5" "M" "66" "2"
"570" "132" "68" "65.5" "F" "64" "2"
"571" "133" "68" "65.5" "M" "71.7" "7"
"572" "133" "68" "65.5" "M" "71.5" "7"
"573" "133" "68" "65.5" "M" "70.7" "7"
"574" "133" "68" "65.5" "M" "65.5" "7"
"575" "133" "68" "65.5" "F" "66.5" "7"
"576" "133" "68" "65.5" "F" "65.2" "7"
"577" "133" "68" "65.5" "F" "61.5" "7"
"578" "134" "68" "65" "M" "72" "4"
"579" "134" "68" "65" "M" "72" "4"
"580" "134" "68" "65" "F" "68" "4"
"581" "134" "68" "65" "F" "66" "4"
"582" "135" "68.5" "65" "M" "69.2" "8"
"583" "135" "68.5" "65" "M" "68" "8"
"584" "135" "68.5" "65" "M" "66" "8"
"585" "135" "68.5" "65" "M" "66" "8"
"586" "135" "68.5" "65" "F" "62" "8"
